Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institution - Persons,Population attending educational institution - Males,Population attending educational institution - Females,Illiterates - Persons,Illiterates - Males,Illiterates - Females,Literates - Persons,Literates - Males,Literates - Females,Educational level - Literate without education level - Persons,Educational level - Literate without education level - Males,Educational level - Literate without education level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Persons,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Males,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females
C3311,00,000,INDIA,Rural,60+,73293822,35997302,37296520,1050575,503245,547330,767152,301959,465193,283423,201286,82137,90234,56071,34163,20025,13023,7002,12280,8777,3503,4220,3265,955,3780,3157,623,56248,40355,15893,2358,1798,560,6044,4830,1214,71572,59255,12317
C3311,00,000,INDIA,Rural,Age not stated,2913452,1533420,1380032,138135,77112,61023,65050,30461,34589,73085,46651,26434,7249,4107,3142,1344,693,651,1005,555,450,545,341,204,585,386,199,29577,18344,11233,506,341,165,2486,1898,588,28270,19039,9231
C3311,00,000,INDIA,Urban,All ages,377106125,195489200,181616925,99812091,53629286,46182805,10396091,5350516,5045575,89416000,48278770,41137230,920899,521918,398981,23310254,12515690,10794564,19595199,10382621,9212578,13668326,7257924,6410402,11854068,6320584,5533484,11058032,6000400,5057632,158164,113092,45072,908557,645347,263210,7649936,4357366,3292570
C3311,00,000,INDIA,Urban,0-4,29820118,15595697,14224421,2176691,1147117,1029574,2176691,1147117,1029574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,5,6759451,3585932,3173519,2324015,1235835,1088180,2324015,1235835,1088180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,6,6612819,3486176,3126643,3353864,1767218,1586646,3353864,1767218,1586646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,7,6676796,3503597,3173199,5536232,2914084,2622148,506533,263236,243297,5029699,2650848,2378851,59748,34078,25670,4938702,2599565,2339137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,8,6761392,3564919,3196473,6018420,3184439,2833981,226948,116539,110409,5791472,3067900,2723572,49714,28271,21443,5721310,3028431,2692879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,9,6310056,3334583,2975473,5749121,3046132,2702989,136516,69696,66820,5612605,2976436,2636169,44921,25556,19365,4806388,2564268,2242120,745206,377708,367498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,10,7864341,4189678,3674663,7047599,3764608,3282991,135856,69028,66828,6911743,3695580,3216163,54095,30997,23098,4157635,2270037,1887598,2681616,1384308,1297308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,11,6889633,3643006,3246627,6259863,3316625,2943238,89183,44688,44495,6170680,3271937,2898743,46644,26672,19972,1701118,947095,754023,4407347,2289377,2117970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,12,7287988,3856442,3431546,6488614,3439557,3049057,77501,38023,39478,6411113,3401534,3009579,47492,27291,20201,840254,473512,366742,4661235,2466835,2194400,847100,425509,421591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,13,6790510,3539391,3251119,6034318,3155284,2879034,62909,30058,32851,5971409,3125226,2846183,42764,24325,18439,359765,200716,159049,3264813,1746393,1518420,2290400,1146341,1144059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,14,7072246,3702160,3370086,6049840,3176778,2873062,60899,28670,32229,5988941,3148108,2840833,43394,24629,18765,189542,105524,84018,1619655,892404,727251,4122941,2118242,2004699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,15,7305808,3866078,3439730,5876108,3109322,2766786,60121,28579,31542,5815987,3080743,2735244,42334,24366,17968,117072,65666,51406,773944,432364,341580,2887069,1555800,1331269,1981822,994946,986876,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,16,7158494,3774150,3384344,5427309,2861700,2565609,53846,25220,28626,5373463,2836480,2536983,40897,23669,17228,99254,53071,46183,406722,223229,183493,1504574,838830,665744,3307150,1689404,1617746,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,17,6768694,3595172,3173522,4797999,2549501,2248498,46889,22142,24747,4751110,2527359,2223751,39716,23223,16493,81213,43577,37636,217581,119308,98273,698026,398659,299367,3700233,1934587,1765646,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Urban,18,8398533,4502228,3896305,4975431,2694677,2280754,52524,25250,27274,4922907,2669427,2253480,50760,29500,21260,69705,40353,29352,187475,105800,81675,467687,273491,194196,1194017,688495,505522,2771907,1408497,1363410,25444,17736,7708,141300,97281,44019,0,0,0
C3311,00,000,INDIA,Urban,19,6992448,3674211,3318237,3916158,2120816,1795342,40379,19386,20993,3875779,2101430,1774349,45813,26770,19043,47835,26838,20997,129008,72257,56751,240009,140548,99461,575468,342429,233039,2655928,1369910,1286018,23092,16366,6726,146648,99506,47142,0,0,0
C3311,00,000,INDIA,Urban,20-24,37589176,19446031,18143145,12134432,6831949,5302483,160131,75308,84823,11974301,6756641,5217660,164649,98326,66323,148861,82807,66054,454394,248934,205460,579054,341598,237456,1047429,640038,407391,4841262,2736269,2104993,68173,48875,19298,441573,310129,131444,4188166,2225902,1962264
C3311,00,000,INDIA,Urban,25-29,35345695,17968219,17377476,2224311,1337396,886915,106436,47824,58612,2117875,1289572,828303,35308,20593,14715,4286,2022,2264,7689,4058,3631,6691,4087,2604,11979,7573,4406,351822,224544,127278,14950,10853,4097,78468,59594,18874,1596461,950143,646318
C3311,00,000,INDIA,Urban,30-34,30683172,15726482,14956690,854321,491288,363033,91596,39884,51712,762725,451404,311321,19113,9475,9638,3717,1620,2097,6581,3371,3210,5146,3001,2145,7509,4675,2834,120416,70529,49887,6883,4909,1974,28278,21901,6377,559606,328777,230829
C3311,00,000,INDIA,Urban,35-59,105887187,55021017,50866170,1907757,1118444,789313,407803,173150,234653,1499954,945294,554660,66511,31247,35264,15805,7161,8644,23824,12208,11616,15651,9508,6143,22666,14587,8079,223498,135242,88256,14629,10623,4006,55155,44018,11137,1046667,672319,374348
C3311,00,000,INDIA,Urban,60+,30555218,15074570,15480648,540208,300749,239459,194251,68706,125545,345957,232043,113914,23056,10589,12467,7202,3091,4111,7584,3785,3799,3650,2111,1539,5223,3482,1741,63999,39320,24679,4207,3165,1042,14244,10845,3399,211288,152692,58596
C3311,00,000,INDIA,Urban,Age not stated,1576350,839461,736889,119480,65767,53713,31200,14959,16241,88280,50808,37472,3970,2341,1629,590,336,254,525,282,243,328,199,129,572,368,204,29200,16089,13111,786,565,221,2891,2073,818,47748,27533,20215
C3311,01,000,State - JAMMU & KASHMIR,Total,All ages,12541302,6640662,5900640,3696633,2023700,1672933,428684,223229,205455,3267949,1800471,1467478,20231,12998,7233,882166,476589,405577,779549,422246,357303,587250,322282,264968,442898,248256,194642,312689,176494,136195,2184,1629,555,18420,11411,7009,210097,121202,88895
C3311,01,000,State - JAMMU & KASHMIR,Total,0-4,1414884,763501,651383,63094,34252,28842,63094,34252,28842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,5,303136,161229,141907,85524,46150,39374,85524,46150,39374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,6,300885,159625,141260,137752,74448,63304,137752,74448,63304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,7,270538,142123,128415,203445,108688,94757,28688,14746,13942,174757,93942,80815,1529,935,594,171568,92065,79503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,8,285314,150470,134844,241295,129668,111627,19398,9916,9482,221897,119752,102145,1472,921,551,219004,118018,100986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,9,252100,133371,118729,222854,119757,103097,12677,6286,6391,210177,113471,96706,1405,872,533,182578,98560,84018,25085,13377,11708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,10,314283,166773,147510,269709,145900,123809,12140,6032,6108,257569,139868,117701,1715,1086,629,167577,91182,76395,86997,46838,40159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,11,282049,149261,132788,251155,135496,115659,8471,4145,4326,242684,131351,111333,1551,964,587,77712,42380,35332,162433,87409,75024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,12,289798,152365,137433,256717,138625,118092,6358,3005,3353,250359,135620,114739,1584,1014,570,30153,16342,13811,188828,101972,86856,28954,15787,13167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,13,261079,136728,124351,231816,124998,106818,4534,2081,2453,227282,122917,104365,1391,922,469,11549,6139,5410,143316,77658,65658,70364,37821,32543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,14,266644,139728,126916,231656,125713,105943,3599,1550,2049,228057,124163,103894,1322,830,492,5328,2863,2465,79224,43463,35761,141597,76673,64924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,15,270992,140502,130490,221665,120408,101257,3253,1389,1864,218412,119019,99393,1070,698,372,3111,1643,1468,36215,19752,16463,123013,66953,56060,54407,29638,24769,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,000,State - JAMMU & KASHMIR,Total,16,263041,136077,126964,205605,112474,93131,2735,1137,1598,202870,111337,91533,821,532,289,2337,1262,1075,17334,9389,7945,82521,45481,37040,99386,54379,45007,0,0,0,0,0,0,0,0,0,0,0,0
