,State,Gender,Education,Year,Population
385,Jammu & Kashmir,Male,Total Population,2007,6128770.0
386,Jammu & Kashmir,Male,Total Population,2008,6256744.0
387,Jammu & Kashmir,Male,Total Population,2009,6384718.0
388,Jammu & Kashmir,Male,Total Population,2010,6512692.0
389,Jammu & Kashmir,Male,Total Population,2012,6768636.0
390,Jammu & Kashmir,Male,Total Population,2013,6896610.0
391,Jammu & Kashmir,Male,Total Population,2014,7024584.0
392,Himachal Pradesh,Female,Below Primary,2001,273075.0
393,Himachal Pradesh,Female,Below Primary,2011,194486.0
394,Himachal Pradesh,Female,Below Primary,2002,265217.0
395,Himachal Pradesh,Female,Below Primary,2003,257359.0
396,Himachal Pradesh,Female,Below Primary,2004,249501.0
397,Himachal Pradesh,Female,Below Primary,2005,241643.0
